title,tmdb_id,year
A Man Called Otto,937278,2022
A Silent Voice: The Movie,378064,2016
Alien: Romulus,945961,2024
Arthur the King,618588,2024
Big Trouble in Little China,6978,1986
Cellar Door,1361292,2024
Champions,933419,2023
Chaos Walking,412656,2021
Chronicle,76726,2012
Code Geass: Lelouch of the Re;Surrection,553837,2019
Code Geass: Lelouch of the Re;Surrection,553837,2019
Deadpool & Wolverine,533535,2024
Dune,438631,2021
Everything Everywhere All at Once,545611,2022
Falling Down,37094,1993
Fantastic Beasts and Where to Find Them,259316,2016
Fate/stay night: Heaven's Feel I. Presage Flower,283984,2017
Fate/stay night: Heaven's Feel III. Spring Song,390635,2020
Finch,522402,2021
Fireworks,995651,2022
Fly Me to the Moon,956842,2024
Ghost in the Shell 2: Innocence,12140,2004
Greedy People,974250,2024
Harry Potter and the Half-Blood Prince,767,2009
Hesher,44835,2010
House of Spoils,1014661,2024
I Want to Eat Your Pancreas,504253,2018
Imperium,374617,2016
Infinite,581726,2021
Is It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion,553835,2019
It Ends With Us,1079091,2024
Jackpot!,1094138,2024
Jin-Roh: The Wolf Brigade,823,1999
Land of Bad,969492,2024
Last Night in Soho,576845,2021
Lazareth,1123278,2024
Medieval,551271,2022
Mothers' Instinct,758679,2024
"Night Is Short, Walk On Girl",430214,2017
Ordinary Angels,974036,2024
Overboard,454619,2018
River Wild,1000475,2023
Running on Empty,988512,2024
See How They Run,766475,2022
Simulant,942199,2023
Slingshot,916728,2024
Stockholm Bloodbath,1051486,2024
Tetris,726759,2023
The Apprentice,1182047,2024
The Boy and the Heron,508883,2023
The Fall Guy,746036,2024
The Last Duel,617653,2021
The Outfit,799876,2022
The Pagemaster,15139,1994
The Passenger,957314,2023
Transformers: Rise of the Beasts,667538,2023
Under the Silver Lake,396461,2018
Up,14160,2009
Wolfs,877817,2024
You Can't Run Forever,879412,2024
