"source_id","count"
"S0004","230"
"S0007","161"
"S0009","173"
"S0010","1"
"S0011","362"
"S0018","50"
"S0020","3485"
"S0024","200"
"S0025","88"
"S0029","37"
"S0035","2821"
"S0037","7"
"S0040","78"
"S0042","9704"
"S0043","7334"
"S0044","259"
"S0046","2666"
"S0062","429"
"S0073","218"
"S0075","220"
"S0085","132"
"S0088","74"
"S0105","3"
"S0113","734"
"S0116","337"
"S0118","18"
"S0123","31"
"S0134","28"
"S0141","2150"
"S0142","450"
"S0145","23"
"S0147","6"
"S0154","248"
"S0157","17"
"S0170","23"
"S0172","114"
"S0174","1562"
"S0177","174"
"S0191","49"
"S0192","39"
"S0197","83"
"S0207","57"
"S0209","15"
"S0221","57"
"S0225","18"
"S0229","54"
"S0240","8"
"S0241","21"
"S0242","11"
"S0247","11"
"S0266","40"
"S0271","10"
"S0276","61"
"S0277","34"
"S0322","55"
"S0329","227"
"S0330","93"
"S0335","2"
"S0338","90"
"S0343","20"
"S0344","4"
"S0346","87"
"S0348","16"
"S0356","59"
"S0364","11"
"S0389","8"
"S0390","6"
"S0391","1455"
"S0392","52"
"S0397","1"
"S0399","123"
"S0400","6"
"S0401","698"
"S0405","432"
"S0408","17"
"S0410","30"
